objectid,comunidad,provincia,nombre,grado_ocupacion,paseo_maritimo,nudismo,acceso_disc,Autobús,aparcamiento,aseos,lavapies,duchas,telefonos,papelera,oficina_tur,zona_infantil,zona_deportiva,club_nautico,submarino,zona_surf
187,Andalucía,Cádiz,Hierbabuena,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
188,Andalucía,Cádiz,Zahara de los Atunes,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
189,Andalucía,Cádiz,Zahora,Medio,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
190,Andalucía,Cádiz,Cortadura,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
191,Andalucía,Cádiz,El Chato,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
192,Andalucía,Cádiz,La Anegada,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
193,Andalucía,Cádiz,La Caleta,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
194,Andalucía,Cádiz,El Puerco,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
195,Andalucía,Cádiz,La Barrosa,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
196,Cantabria,Cantabria,Aramal,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
197,Cantabria,Cantabria,Las Arenas,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
198,Cantabria,Cantabria,El Pedrero,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
199,Cantabria,Cantabria,Oyambre,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
200,Andalucía,Málaga,Malapesquera,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
201,Andalucía,Málaga,Santa Ana,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
202,Andalucía,Málaga,Tajo de la Soga,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
203,Andalucía,Málaga,Torremuelle,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
204,Andalucía,Málaga,Torrequebrada,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
205,Andalucía,Málaga,Torrevigía,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
206,Andalucía,Málaga,Pinomar,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
207,Andalucía,Málaga,Real de Zaragoza,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
208,Principado de Asturias,Asturias,Arenal de Morís,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
209,Cantabria,Cantabria,Cuchía,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
210,Cantabria,Cantabria,Trengandín,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
211,Cantabria,Cantabria,Amió,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
212,Cataluña,Barcelona,La Musclera,Alto,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
213,Andalucía,Málaga,Las Yucas,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
214,Andalucía,Málaga,Arroyo de las Cañas,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
215,Andalucía,Málaga,Nueva Andalucía,Alto,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
216,Andalucía,Málaga,Realejo,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
217,Principado de Asturias,Asturias,Beciella,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
218,Andalucía,Cádiz,Sancti-Petri,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
219,Andalucía,Cádiz,Punta de las Piedras,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
220,Andalucía,Cádiz,Camarón,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
221,Andalucía,Cádiz,Cruz del Mar,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
222,Andalucía,Cádiz,De Regla,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
223,Andalucía,Cádiz,Las Canteras,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
224,Andalucía,Cádiz,Montijo,Bajo,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
225,Andalucía,Cádiz,Cala del Aceite,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
226,Andalucía,Cádiz,Calas de Poniente,Medio,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,1
227,Andalucía,Cádiz,Calas del Quinto y Camacho,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
228,Andalucía,Cádiz,Castilnovo,Bajo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
229,Andalucía,Cádiz,Fuente del Gallo,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
230,Andalucía,Cádiz,La Fontanilla,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
231,Andalucía,Cádiz,Los Bateles,Medio,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
232,Andalucía,Cádiz,Roche,Medio,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
233,Andalucía,Cádiz,Fuentebravía,Alto,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1
